area_type,availability,location,size,society,total_sqft,bath,balcony,price
3,40,419,13,464,70,2,1,39.07
2,80,317,19,2439,1288,5,3,120
0,80,1179,16,2688,514,2,3,62
3,80,757,16,2186,602,3,1,95
3,80,716,13,2688,239,2,1,51
3,80,1252,13,607,205,2,1,38
3,34,895,18,939,1319,4,,204
3,80,976,18,360,1466,4,,600
3,80,799,16,2688,369,3,1,63.25
2,80,434,24,2688,31,6,,370
3,29,1252,16,2688,884,2,2,70
2,80,1252,19,1625,1334,5,3,295
3,80,72,13,2089,3,2,1,38
0,80,466,13,2688,119,2,2,40
2,80,1038,17,2151,1149,3,2,148
3,80,837,13,1602,210,2,2,73.5
3,80,268,16,1582,215,3,2,48
3,80,972,16,806,619,3,3,60
3,80,988,16,1497,1327,4,2,290
3,80,788,13,2688,119,2,2,48
0,80,688,0,2688,1784,1,1,15
3,40,267,16,2057,845,3,1,122
2,80,1148,19,2199,1340,5,2,380
3,80,236,16,2688,856,3,1,103
3,35,10,2,296,1714,1,0,25.25
3,34,789,16,2688,303,3,2,56
3,80,417,13,918,1835,1,1,23.1
0,52,1252,16,2688,696,3,2,81
3,24,987,13,2649,184,2,2,48.77
3,80,417,16,989,39,2,1,47
3,40,1261,18,1106,1077,4,0,186
3,80,268,16,1582,90,2,1,35
3,80,513,16,1217,849,2,2,123
3,80,972,16,806,783,3,3,57.39
0,80,673,16,1012,977,3,,125
3,63,664,13,1530,1876,2,1,36
3,80,422,13,2688,84,2,1,45.5
3,80,731,16,593,813,3,2,125
3,80,326,16,2688,349,2,2,56.12
0,80,1179,13,2688,174,2,2,45
0,80,833,13,747,354,2,,81
3,40,1039,16,2191,308,3,2,38
3,80,437,0,403,1784,1,0,38
2,80,1261,1,2688,1835,1,0,48
3,49,664,13,2167,393,2,2,91.79
2,80,494,28,2688,1784,9,,200
3,80,396,13,1097,2088,2,0,33
3,61,1252,13,794,539,2,1,94.82
2,80,626,14,2688,1945,1,1,130
0,80,526,13,2688,1995,2,1,36
3,80,89,13,310,329,2,1,50
3,33,252,16,1785,757,3,1,99
0,80,1252,16,2373,1028,3,2,91
3,80,745,13,1787,222,2,2,75
3,80,1261,16,1336,686,2,3,75
3,80,232,13,575,239,2,2,44
0,53,365,19,327,1393,,,192
3,80,988,13,1497,577,2,2,185
