Q1-Location,Q2-Price,Q3-Rooms,Q4-Other rooms,Q5-Bathrooms,Q6-Car Parks,Q7-Property Type,Q8-Furnishing,Q9-Size
1,1250000,2,1,3,2,1,1,1335
2,6800000,6,,7,,2,2,6900
3,1030000,3,,4,2,3,2,1875
4,,,,,,,,
5,900000,4,1,3,2,3,2,1513
6,5350000,4,2,5,4,2,2,7200
7,,,,,,,,
6,2600000,5,,4,4,4,2,3600
8,385000,3,,2,1,5,2,904
9,,,,,,,,
6,1680000,4,,3,,6,2,22
6,1700000,3,1,3,,6,2,1900
6,4580000,6,1,5,5,7,2,6000
5,,,,,,,,
6,3100000,4,1,3,,8,2,3600
10,9000000,6,1,7,4,9,2,8500
2,4500000,5,1,7,,9,2,4842
11,1780000,4,1,4,2,3,2,1830
11,3450000,4,1,6,3,3,1,3720
12,1500000,3,2,4,2,3,2,1798
2,1550000,1,,1,1,10,1,904
11,1500000,3,1,4,3,11,1,2163
11,1450000,3,1,4,,11,1,2163
13,490000,1,,1,1,1,1,520
5,610000,3,1,2,2,12,2,1236
11,,,,,,,,
3,1035880,3,1,4,1,13,2,1876
11,1830000,3,,4,,12,2,1668
14,,,,,,,,
9,3300000,4,1,4,4,11,3,3536
9,460000,1,,1,1,1,1,613
15,,,,,,,,
1,2400000,2,,2,1,1,1,1006
11,2290710,4,1,4,,11,,2767
11,2284620,4,2,4,,11,,2702
4,,,,,,,,
14,1438000,3,2,4,3,3,2,2378
11,1720000,3,2,6,3,3,2,2020
1,3600000,4,,4,,14,2,3897
1,4280000,3,1,4,2,14,1,2195
1,2300000,1,,2,1,1,2,1023
2,4200000,6,,5,5,2,2,5274
16,900000,6,,5,3,15,1,20
1,2700000,3,1,4,3,14,1,3095
11,1080000,2,,2,1,1,1,896
11,1150000,3,,2,2,3,2,1200
5,1070000,4,1,4,4,13,2,1772
5,930000,4,,3,2,13,2,1513
6,,,,,,,,
13,780000,2,,2,1,14,2,880
1,4098000,3,1,3,2,10,2,2066
6,,,,,,,,
