Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,12794,2,0,1480000,1,23,45,2.5,3067,2,1,1,202,,,31,-37.7996,144.9984,2,4019
0,5943,2,0,1035000,1,23,47,2.5,3067,2,1,0,156,79,1900,31,-37.8079,144.9934,2,4019
0,9814,3,0,1465000,3,23,48,2.5,3067,3,2,0,134,150,1900,31,-37.8093,144.9944,2,4019
0,9004,3,0,850000,0,23,48,2.5,3067,3,2,1,94,,,31,-37.7969,144.9969,2,4019
0,10589,4,0,1600000,4,155,49,2.5,3067,3,1,2,120,142,2014,31,-37.8072,144.9941,2,4019
0,2195,2,0,941000,1,106,52,2.5,3067,2,1,0,181,,,31,-37.8041,144.9953,2,4019
0,2142,3,0,1876000,1,155,52,2.5,3067,4,2,0,245,210,1910,31,-37.8024,144.9993,2,4019
0,13335,2,0,1636000,1,155,56,2.5,3067,2,1,2,256,107,1890,31,-37.806,144.9954,2,4019
0,11082,1,2,300000,1,23,56,2.5,3067,1,1,1,0,,,31,-37.8008,144.9973,2,4019
0,1090,2,0,1097000,1,23,56,2.5,3067,3,1,2,220,75,1900,31,-37.801,144.9989,2,4019
0,9174,2,2,700000,4,106,7,2.5,3067,2,2,1,0,,,31,-37.811,145.0067,2,4019
0,9029,3,0,1350000,4,155,7,2.5,3067,3,2,2,214,190,2005,31,-37.8085,144.9964,2,4019
0,2125,2,2,750000,1,23,7,2.5,3067,2,2,1,0,94,2009,31,-37.8078,144.9965,2,4019
0,9482,2,0,1172500,1,23,9,2.5,3067,2,1,1,195,,,31,-37.8084,144.9973,2,4019
0,11881,1,2,441000,3,85,10,2.5,3067,1,1,1,0,,,31,-37.8016,144.9988,2,4019
0,3286,2,0,1310000,1,106,12,2.5,3067,2,1,2,238,97,1890,31,-37.809,144.9976,2,4019
0,9211,3,0,1200000,1,106,14,2.5,3067,3,2,1,113,110,1880,31,-37.8056,144.993,2,4019
0,12273,3,0,1176500,1,117,14,2.5,3067,2,1,1,138,105,1890,31,-37.8021,144.9965,2,4019
0,4017,3,0,955000,1,49,17,2.5,3067,3,1,0,183,,,31,-37.8022,144.9975,2,4019
0,9250,2,0,890000,1,23,17,2.5,3067,2,1,1,150,73,1985,31,-37.8011,145.0004,2,4019
0,7273,4,0,1330000,0,111,18,2.5,3067,4,2,2,780,135,1900,31,-37.8073,144.9952,2,4019
0,2403,3,1,900000,1,19,18,2.5,3067,3,2,2,0,,2010,31,-37.8093,144.9959,2,4019
0,2530,3,2,1090000,1,106,18,2.5,3067,3,2,2,4290,27,,31,-37.8078,144.9965,2,4019
0,11073,2,2,500000,1,49,19,2.5,3067,2,1,1,0,60,1970,31,-37.8015,144.9972,2,4019
0,10411,2,0,1100000,0,23,19,2.5,3067,2,2,1,124,135,2013,31,-37.8079,144.9977,2,4019
0,9728,2,0,1315000,1,135,21,2.5,3067,2,1,0,147,85,1900,31,-37.808,144.994,2,4019
0,10064,1,2,426000,3,85,26,2.5,3067,1,1,1,0,,,31,-37.8016,144.9988,2,4019
0,9621,3,0,1447500,0,155,26,2.5,3067,3,3,1,166,174,2012,31,-37.8017,145.0001,2,4019
0,1791,1,2,457000,1,106,26,2.5,3067,1,1,1,0,50,,31,-37.8078,144.9965,2,4019
0,3125,2,0,1135000,1,155,26,2.5,3067,2,2,2,98,128,1920,31,-37.8005,144.9952,2,4019
0,7564,4,0,1542000,1,49,30,2.5,3067,4,3,1,0,,,31,-37.7994,144.9965,2,4019
0,3364,3,0,1290000,1,23,31,2.5,3067,3,2,2,147,18,,31,-37.805,144.9943,2,4019
0,11237,3,0,1290000,1,23,31,2.5,3067,3,1,1,168,124,1950,31,-37.8007,144.9958,2,4019
0,1633,1,2,470000,1,155,32,2.5,3067,1,1,1,0,50,2013,31,-37.8055,144.9961,2,4019
0,9594,2,0,1180000,1,106,36,2.5,3067,2,1,0,162,91,1900,31,-37.8016,144.9956,2,4019
0,9484,3,0,1195000,3,106,36,2.5,3067,3,2,1,120,128,1998,31,-37.8022,144.9954,2,4019
0,5127,2,0,1012500,1,155,38,2.5,3067,2,1,0,182,82,1900,31,-37.8021,144.9976,2,4019
0,6240,2,0,1030000,1,23,46,2.5,3067,2,1,1,172,81,1930,31,-37.8086,144.9946,2,4019
2,3092,3,1,840000,0,155,43,13.5,3042,3,2,1,303,225,2016,21,-37.718,144.878,6,3464
2,10215,3,0,730000,4,155,45,13.5,3042,3,2,1,0,145,1965,21,-37.7203,144.8755,6,3464
2,10215,3,0,770000,3,155,48,13.5,3042,3,2,1,0,145,1965,21,-37.7203,144.8755,6,3464
2,5661,2,0,603000,1,155,48,13.5,3042,2,1,1,272,84,1950,21,-37.7294,144.888,6,3464
2,895,3,1,700000,1,28,48,13.5,3042,3,2,2,239,134,2009,21,-37.7218,144.8837,6,3464
2,650,3,0,600000,1,133,48,13.5,3042,2,1,1,290,116,1980,21,-37.7273,144.8744,6,3464
2,4761,2,2,500000,4,16,48,13.5,3042,2,1,1,168,86,2011,21,-37.7215,144.8864,6,3464
2,10502,3,0,720000,1,16,51,13.5,3042,2,1,1,620,,,21,-37.7173,144.8872,6,3464
2,8072,4,0,785000,1,53,51,13.5,3042,3,1,2,597,127,,21,-37.7259,144.8792,6,3464
2,1504,6,0,725000,3,16,52,13.5,3042,6,3,2,976,186,1980,21,-37.7239,144.8735,6,3464
2,4589,2,1,450000,1,16,52,13.5,3042,2,1,1,110,90,2015,21,-37.7216,144.871,6,3464
2,7023,2,2,515000,1,16,53,13.5,3042,2,1,1,141,73,2013,21,-37.7298,144.8883,6,3464
2,4852,2,2,530000,1,155,1,13.5,3042,2,1,1,120,94,2012,21,-37.7234,144.8792,6,3464
2,6708,3,0,895000,0,204,1,13.5,3042,3,1,6,1063,133,1975,21,-37.7249,144.8728,6,3464
2,2273,3,0,805000,1,155,2,13.5,3042,3,1,1,0,105,1950,21,-37.7217,144.8783,6,3464
2,706,3,2,752000,1,155,3,13.5,3042,3,1,1,265,130,1993,21,-37.7302,144.8855,6,3464
2,2821,2,2,440000,1,16,9,13.5,3042,2,1,1,192,,,21,-37.7177,144.8787,6,3464
2,5902,5,0,755000,0,186,10,13.5,3042,3,2,2,596,,,21,-37.7248,144.8699,6,3464
2,4721,3,1,700000,0,28,12,13.5,3042,3,2,2,165,133,2009,21,-37.727,144.887,6,3464
2,3804,3,0,830000,1,16,13,13.5,3042,3,1,2,971,113,1960,21,-37.7186,144.876,6,3464
2,8896,2,2,462500,1,16,14,13.5,3042,2,1,1,164,,2003,21,-37.7218,144.8863,6,3464
2,9294,3,0,670000,3,16,14,13.5,3042,3,2,2,657,,,21,-37.7269,144.8742,6,3464
2,3601,2,0,675000,1,16,14,13.5,3042,2,1,1,612,100,1975,21,-37.7187,144.8765,6,3464
2,2529,3,0,1042000,1,155,14,13.5,3042,3,2,5,612,174,1950,21,-37.7173,144.8796,6,3464
2,12158,3,0,910000,1,139,17,13.5,3042,3,1,1,775,,,21,-37.7231,144.8835,6,3464
2,10887,4,0,773000,1,28,17,13.5,3042,5,3,4,531,309,1980,21,-37.7263,144.8679,6,3464
2,9615,3,0,810000,0,16,18,13.5,3042,3,3,2,555,192,1980,21,-37.7285,144.8694,6,3464
2,2811,3,0,715000,1,204,18,13.5,3042,3,2,2,422,126,1995,21,-37.7164,144.8792,6,3464
2,1333,3,0,790000,1,155,18,13.5,3042,3,1,3,614,,,21,-37.7194,144.8827,6,3464
2,7268,3,1,540000,3,155,19,13.5,3042,2,2,1,161,101,2010,21,-37.7231,144.8802,6,3464
2,8152,3,1,825000,3,16,21,13.5,3042,3,2,1,293,102,1960,21,-37.72,144.8776,6,3464
2,1004,3,0,685000,1,16,24,13.5,3042,3,1,1,579,113,1975,21,-37.7226,144.8733,6,3464
2,1687,3,0,805000,1,16,26,13.5,3042,3,1,1,623,,,21,-37.7184,144.882,6,3464
