id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,xin,calculated_host_listings_count,availability_365
49091,1900,266763,499,2,41,1.44255,103.7958,1,83,180,1,0,0.01,2,365
50646,4901,227796,1486,0,6,1.33235,103.78521,1,81,90,18,8,0.28,1,365
56334,1899,266763,499,2,41,1.44246,103.79667,1,69,6,20,47,0.2,2,365
71609,3123,367042,184,1,36,1.34541,103.95712,1,206,1,14,984,0.15,9,353
71896,1437,367042,184,1,36,1.34567,103.95963,1,94,1,22,970,0.22,9,355
71903,5347,367042,184,1,36,1.34702,103.96103,1,104,1,39,988,0.38,9,346
71907,967,367042,184,1,36,1.34348,103.96337,1,208,1,25,967,0.25,9,172
241503,3955,1017645,201,1,1,1.32304,103.91363,1,50,90,174,912,1.88,4,59
241508,3956,1017645,201,1,1,1.32458,103.91163,1,54,90,198,879,2.08,4,133
241510,3957,1017645,201,1,1,1.32461,103.91191,1,42,90,236,973,2.53,4,147
275343,2496,1439258,800,0,4,1.28875,103.80814,1,44,15,18,872,0.23,32,331
275344,334,1439258,800,0,4,1.28837,103.81099,1,40,30,10,657,0.11,32,276
289234,1693,367042,184,1,36,1.34561,103.95984,1,417,2,12,762,0.14,9,239
294281,1026,1521514,427,0,21,1.31125,103.83816,1,65,2,125,995,1.35,6,336
324945,664,1439258,800,0,4,1.28976,103.80896,1,44,30,13,794,0.15,32,340
330089,1205,1439258,800,0,4,1.28677,103.81244,1,40,30,10,878,0.14,32,331
330095,284,1439258,800,0,4,1.28537,103.81087,1,31,90,3,177,0.04,32,361
344803,1806,367042,184,1,36,1.34943,103.95951,1,49,2,45,984,0.5,9,357
369141,1046,1521514,427,0,21,1.3115,103.83759,1,60,2,84,952,1.17,6,340
369145,1025,1521514,427,0,21,1.31159,103.83805,1,60,2,157,988,1.75,6,349
395191,3593,1975201,22,0,28,1.29345,103.83562,1,56,90,27,361,0.36,1,364
423875,4229,367042,184,1,36,1.34838,103.9592,1,104,1,16,977,0.19,9,300
553229,2292,1030128,907,4,14,1.34135,103.71139,1,53,2,23,984,0.27,3,345
604966,1702,2996022,505,0,6,1.33171,103.79383,0,276,4,11,462,0.13,1,362
696136,5237,1289033,547,0,6,1.31016,103.79853,1,100,90,28,366,0.33,1,90
746929,498,3919513,730,1,1,1.30792,103.92287,0,176,2,99,997,1.28,1,7
756267,3080,1584407,1302,0,19,1.30377,103.89956,1,165,2,68,968,0.83,5,167
756300,2576,3981231,296,3,32,1.35001,103.87161,1,44,1,36,476,0.44,1,0
764599,313,4030859,618,0,38,1.34143,103.84945,1,51,92,48,994,0.61,1,179
765579,2116,2413412,822,0,24,1.28315,103.84213,1,44,90,2,984,0.02,112,365
804470,5802,741873,352,0,37,1.30292,103.82253,0,2604,1,1,1,0.01,1,0
815685,1424,1439258,800,0,4,1.28909,103.80749,1,40,30,13,989,0.17,32,331
819034,1703,1584407,1302,0,19,1.30529,103.9042,0,300,2,37,483,0.46,5,221
819044,3082,1584407,1302,0,19,1.30392,103.89988,1,150,2,68,908,0.84,5,173
822413,4330,3951127,1481,0,37,1.29839,103.82808,0,200,60,9,486,0.11,3,334
833289,6418,4360831,891,0,4,1.27681,103.82381,1,150,1,2,786,0.05,1,208
872345,2990,4602014,465,3,12,1.37037,103.90052,1,42,30,20,344,0.25,3,361
881253,2094,2413412,822,0,24,1.28291,103.84284,1,65,90,3,504,0.04,112,0
881683,6207,4602014,465,3,12,1.36775,103.89855,1,40,30,10,319,0.12,3,268
888196,3212,4710327,931,0,22,1.31314,103.84081,0,243,5,14,145,0.19,1,143
902669,1230,2413412,822,0,11,1.31525,103.88176,1,35,18,6,962,0.15,112,359
918880,6437,4935740,726,3,32,1.36885,103.8731,1,65,1,25,988,0.41,1,339
922138,4915,3951127,1481,0,10,1.27529,103.84494,0,219,60,6,484,0.08,3,350
922509,2106,2413412,822,0,24,1.28491,103.84209,1,60,28,6,364,0.16,112,333
948105,3119,5140541,775,3,26,1.39877,103.90248,1,76,1,2,985,2,1,365
963342,3742,5249382,1118,3,12,1.37369,103.87847,1,35,32,6,822,0.12,2,339
982909,2800,4723385,1736,0,22,1.33334,103.8327,1,69,2,222,996,2.85,2,0
1024986,6093,5643415,1005,0,28,1.29349,103.83837,0,140,2,145,995,2.04,1,230
1060046,5459,5748910,1365,4,5,1.38123,103.76874,1,49,3,15,913,0.2,2,131
1078804,2831,4602014,465,3,12,1.36764,103.90228,1,31,30,60,672,0.78,3,225
1131162,2806,6205166,959,1,1,1.33729,103.9298,1,72,2,1,283,0.03,1,360
1142414,3603,2413412,822,0,15,1.31135,103.85946,1,49,18,2,95,0.05,112,360
1178486,2599,6448029,1476,0,15,1.29638,103.87282,1,81,90,14,12,0.18,1,0
1183421,4104,6473817,1247,0,33,1.28708,103.84444,0,231,90,28,599,0.4,2,119
1199033,4016,1322402,891,0,19,1.29891,103.88681,0,190,9,29,976,0.39,1,277
1210268,889,6609641,245,0,37,1.31693,103.82636,0,319,7,42,916,0.61,19,330
1229614,216,6609641,245,0,37,1.31503,103.82614,0,149,7,29,882,0.42,19,0
1233249,691,6609641,245,0,37,1.31507,103.82704,0,240,7,29,963,0.41,19,340
1242205,3598,3589987,1405,0,19,1.31,103.90321,1,137,6,10,934,0.14,2,0
1244654,6656,2413412,822,0,24,1.28485,103.84347,1,58,90,4,203,0.11,112,322
1249555,3606,2413412,822,0,15,1.31213,103.8561,1,56,18,1,205,0.03,112,332
1261443,6647,2413412,822,0,24,1.28407,103.8436,1,65,90,3,434,0.1,112,356
1277842,5482,6954638,227,0,27,1.29201,103.76936,1,60,5,7,518,0.1,9,0
1277919,5483,6954638,227,0,27,1.29213,103.76913,2,50,5,11,732,0.27,9,343
1302185,256,7080517,1337,0,11,1.31511,103.88947,0,129,30,83,892,1.11,11,348
1315867,3359,3877464,269,1,1,1.31259,103.91067,1,69,2,72,937,0.97,1,354
1363204,2103,2413412,822,0,24,1.28432,103.84334,1,60,90,3,201,0.04,112,361
1434208,1392,7707838,1453,0,28,1.29211,103.836,0,400,4,6,10,0.08,1,0
1466685,5692,4153568,749,0,38,1.3305,103.8424,1,44,90,29,970,0.4,1,76
1485189,3976,7945059,671,0,37,1.30768,103.82017,1,104,5,51,985,0.79,1,74
1508829,3893,2413412,822,0,15,1.30774,103.86332,1,40,18,8,233,0.13,112,359
1521198,5622,8107070,662,0,15,1.30844,103.85875,1,76,5,22,997,0.49,1,67
1599599,782,8527085,188,0,23,1.30341,103.83365,0,300,2,9,973,0.19,38,349
1615074,1418,2413412,822,0,24,1.28328,103.84329,1,67,90,3,822,0.17,112,356
1622505,6211,1584407,1302,0,19,1.30415,103.90192,1,165,2,27,975,0.39,5,223
1647014,5228,8740203,1512,0,22,1.33917,103.82306,1,89,2,78,993,1.1,2,342
1654840,869,8773916,1494,0,29,1.30292,103.858,1,90,1,2,457,0.08,7,233
1656833,3322,8783465,317,0,22,1.32389,103.84872,1,131,1,1,975,1,2,0
1678744,3834,8881470,1667,0,24,1.28425,103.8432,2,50,1,134,984,1.91,5,301
1678754,5051,8881470,1667,0,24,1.28446,103.8446,2,300,1,2,505,0.04,5,275
1678755,4340,8881470,1667,0,24,1.28467,103.84327,2,50,1,83,994,1.22,5,298
1715479,793,9046411,728,0,20,1.29857,103.84748,0,194,14,11,739,0.18,1,301
1719704,6657,2413412,822,0,24,1.28459,103.84217,1,56,18,3,912,0.08,112,356
1743439,5120,9164793,1051,0,24,1.28328,103.84532,1,800,1,3,469,0.15,5,0
1756811,6752,9238497,1769,2,30,1.44843,103.81538,1,550,180,1,2,0.01,1,365
1766900,3586,11390076,1580,0,21,1.30626,103.83994,1,85,3,11,973,0.39,18,334
1804722,5587,9457143,1770,0,15,1.31909,103.85741,1,33,180,1,5,0.02,1,364
1805143,497,9461671,72,0,11,1.31435,103.88617,0,169,3,19,964,0.28,1,332
1816463,3299,367042,184,1,36,1.34566,103.95994,1,90,1,9,958,0.15,9,361
1833950,5949,6609641,245,0,37,1.31742,103.82572,0,160,7,24,978,0.35,19,365
1848152,6108,1305358,684,0,24,1.2819,103.83849,1,50,6,6,410,0.09,1,54
1857229,966,367042,184,1,36,1.34574,103.95945,1,260,1,4,917,0.14,9,357
