Q1-Price,Q2-Unit cost,Q3-House type,Q4-Area,Q5-Orientation,Q6-Year,Q7-Floor,Q8-Name,Q9-Location
895,81779,1,109.44,1,2016,1,1,1
888,67786,1,131,1,2003,2,2,2
1090,82965,2,131.38,1,2005,0,3,3
540.9,60100,3,90,1,2015,3,4,4
340,58089,4,58.53,2,1990,1,5,5
320,55623,5,57.53,2,2006,3,6,6
1480,84282,2,175.6,1,2016,2,7,7
1090,82965,2,131.38,1,2005,0,3,3
540.9,60100,3,90,1,2015,3,4,4
800,85846,3,93.19,2,2019,1,8,8
325,42033,3,77.32,1,2000,1,9,9
895,81779,1,109.44,1,2016,1,1,1
1090,82965,2,131.38,1,2005,0,3,3
895,81779,1,109.44,1,2016,1,1,1
1090,82965,2,131.38,1,2005,0,3,3
895,81779,1,109.44,1,2016,1,1,1
330,72431,5,45.56,2,1993,4,10,10
258,67362,5,38.3,2,1995,4,11,11
540.9,60100,3,90,1,2015,3,4,4
540.9,60100,3,90,1,2015,3,4,4
950,106074,3,89.56,1,2019,3,12,12
340,58089,4,58.53,2,1990,1,5,5
320,55623,5,57.53,2,2006,3,6,6
1480,84282,2,175.6,1,2016,2,7,7
888,67786,1,131,1,2003,2,2,2
280,50332,5,55.63,2,2006,3,6,6
800,85846,3,93.19,2,2019,1,8,8
888,67786,1,131,1,2003,2,2,2
1090,82965,2,131.38,1,2005,0,3,3
280,50332,5,55.63,2,2006,3,6,6
1480,84282,2,175.6,1,2016,2,7,7
258,67362,5,38.3,2,1995,4,11,11
800,85846,3,93.19,2,2019,1,8,8
325,42033,3,77.32,1,2000,1,9,9
280,50332,5,55.63,2,2006,3,6,6
585,65553,1,89.24,1,2015,2,13,13
340,58089,4,58.53,2,1990,1,5,5
320,55623,5,57.53,2,2006,3,6,6
1480,84282,2,175.6,1,2016,2,7,7
258,67362,5,38.3,2,1995,4,11,11
340,58089,4,58.53,2,1990,1,5,5
280,50332,5,55.63,2,2006,3,6,6
1260,103448,6,121.8,1,2016,3,14,14
330,72431,5,45.56,2,1993,4,10,10
258,67362,5,38.3,2,1995,4,11,11
950,106074,3,89.56,1,2019,3,12,12
320,55623,5,57.53,2,2006,3,6,6
1480,84282,2,175.6,1,2016,2,7,7
238,58048,5,41,1,1997,0,15,15
540.9,60100,3,90,1,2015,3,4,4
1480,84282,2,175.6,1,2016,2,7,7
1260,103448,6,121.8,1,2016,3,14,14
800,85846,3,93.19,2,2019,1,8,8
320,55623,5,57.53,2,2006,3,6,6
219,53116,5,41.23,1,1996,0,15,15
288,48104,4,59.87,1,1995,0,15,15
888,67786,1,131,1,2003,2,2,2
