Q1-Price,Q2-Unit cost,Q3-House type,Q4-Area,Q5-Orientation,Q6-Year,Q7-Floor,Q8-Name,Q9-Location
46.5,15500,1,30,1,2018,2,1,1
270,30966,2,87.19,2,2016,0,2,2
450,71428,3,63,1,2014,2,3,3
99,12721,2,77.82,3,2020,1,4,4
300,30927,2,97,4,2017,3,2,2
348,47671,3,73,1,2018,2,5,5
300,30927,2,97,4,2017,3,2,2
119,16081,2,74,1,2019,1,6,6
270,30966,2,87.19,2,2016,0,2,2
225,46506,4,48.38,5,1987,1,7,7
387,30743,5,125.88,2,2016,2,2,2
450,71428,3,63,1,2014,2,3,3
46.5,15500,1,30,1,2018,2,1,1
270,30966,2,87.19,2,2016,0,2,2
450,71428,3,63,1,2014,2,3,3
375,66102,2,56.73,1,2005,1,8,8
270,30966,2,87.19,2,2016,0,2,2
450,71428,3,63,1,2014,2,3,3
300,30927,2,97,4,2017,3,2,2
46.5,15500,1,30,1,2018,2,1,1
225,46506,4,48.38,5,1987,1,7,7
268,30737,2,87.19,2,2016,1,2,9
46.5,15500,1,30,1,2018,2,1,1
1600,114212,2,140.09,4,2018,2,9,10
520,64951,1,80.06,6,2010,3,10,11
397,39264,2,101.11,2,2015,1,11,12
225,46506,4,48.38,5,1987,1,7,7
368,43809,2,84,2,1997,2,12,13
397,39264,2,101.11,2,2015,1,11,12
145,53055,4,27.33,6,1993,2,13,14
387,30743,5,125.88,2,2016,2,2,2
300,30927,2,97,4,2017,3,2,2
450,71428,3,63,1,2014,2,3,3
300,30927,2,97,4,2017,3,2,2
145,53055,4,27.33,6,1993,2,13,14
1600,114212,2,140.09,4,2018,2,9,10
348,47671,3,73,1,2018,2,5,5
375,66102,2,56.73,1,2005,1,8,8
358,36695,2,97.56,4,2017,2,14,15
268,30737,2,87.19,2,2016,1,2,9
300,30927,2,97,4,2017,3,2,2
55.58,12351,4,45,1,2016,2,15,16
397,39264,2,101.11,2,2015,1,11,12
800,81766,2,97.84,2,2006,2,16,17
286,33059,1,86.51,7,2008,3,17,18
225,46506,4,48.38,5,1987,1,7,7
1600,114212,2,140.09,4,2018,2,9,10
410,54820,3,74.79,1,2016,2,18,19
119,16081,2,74,1,2019,1,6,6
520,64951,1,80.06,6,2010,3,10,11
387,30743,5,125.88,2,2016,2,2,2
348,47671,3,73,1,2018,2,5,5
398,38693,2,102.86,4,2019,2,19,20
387,30743,5,125.88,2,2016,2,2,2
410,54820,3,74.79,1,2016,2,18,19
368,43809,2,84,2,1997,2,12,13
245,25789,2,95,4,2017,3,20,21
286,33059,1,86.51,7,2008,3,17,18
450,71428,3,63,1,2014,2,3,3
348,47671,3,73,1,2018,2,5,5
387,30743,5,125.88,2,2016,2,2,2
375,66102,2,56.73,1,2005,1,8,8
358,36695,2,97.56,4,2017,2,14,15
268,30737,2,87.19,2,2016,1,2,9
1600,114212,2,140.09,4,2018,2,9,10
520,64951,1,80.06,6,2010,3,10,11
368,43809,2,84,2,1997,2,12,13
46.5,15500,1,30,1,2018,2,1,1
119,16081,2,74,1,2019,1,6,6
348,47671,3,73,1,2018,2,5,5
300,30927,2,97,4,2017,3,2,2
330,66000,4,50,1,2017,2,21,22
225,46506,4,48.38,5,1987,1,7,7
320,41025,2,78,1,2013,3,22,23
375,66102,2,56.73,1,2005,1,8,8
358,36695,2,97.56,4,2017,2,14,15
268,30737,2,87.19,2,2016,1,2,9
245,25789,2,95,4,2017,3,20,21
1350,90817,2,148.65,4,2018,1,9,24
397,39264,2,101.11,2,2015,1,11,12
1600,114212,2,140.09,4,2018,2,9,10
410,54820,3,74.79,1,2016,2,18,19
348,47671,3,73,1,2018,2,5,5
345,39383,2,87.6,4,2017,2,23,25
268,30737,2,87.19,2,2016,1,2,9
398,38693,2,102.86,4,2019,2,19,20
119,16081,2,74,1,2019,1,6,6
520,64951,1,80.06,6,2010,3,10,11
225,46506,4,48.38,5,1987,1,7,7
520,47419,2,109.66,1,2003,3,24,26
99,12721,2,77.82,3,2020,1,4,4
1600,114212,2,140.09,4,2018,2,9,10
387,30743,5,125.88,2,2016,2,2,2
145,53055,4,27.33,6,1993,2,13,14
225,46506,4,48.38,5,1987,1,7,7
320,41025,2,78,1,2013,3,22,23
340,34343,2,99,2,2015,2,25,27
345,39383,2,87.6,4,2017,2,23,25
268,30737,2,87.19,2,2016,1,2,9
300,30927,2,97,4,2017,3,2,2
348,47671,3,73,1,2018,2,5,5
1600,114212,2,140.09,4,2018,2,9,10
368,43809,2,84,2,1997,2,12,13
345,31081,2,111,1,2016,2,2,2
800,81766,2,97.84,2,2006,2,16,17
397,39264,2,101.11,2,2015,1,11,12
270,30966,2,87.19,2,2016,0,2,2
119,16081,2,74,1,2019,1,6,6
397,39264,2,101.11,2,2015,1,11,12
245,25789,2,95,4,2017,3,20,21
368,43809,2,84,2,1997,2,12,13
245,25789,2,95,4,2017,3,20,21
398,38693,2,102.86,4,2019,2,19,20
286,33059,1,86.51,7,2008,3,17,18
250,40322,2,62,1,1996,4,26,28
55.58,12351,4,45,1,2016,2,15,16
800,81766,2,97.84,2,2006,2,16,17
358,36695,2,97.56,4,2017,2,14,15
970,69014,2,140.55,1,2012,3,27,29
320,41025,2,78,1,2013,3,22,23
410,54820,3,74.79,1,2016,2,18,19
348,47671,3,73,1,2018,2,5,5
225,46506,4,48.38,5,1987,1,7,7
340,34343,2,99,2,2015,2,25,27
245,25789,2,95,4,2017,3,20,21
247,25691,2,96.14,2,2022,2,20,30
55.58,12351,4,45,1,2016,2,15,16
800,81766,2,97.84,2,2006,2,16,17
520,47419,2,109.66,1,2003,3,24,26
268,30737,2,87.19,2,2016,1,2,9
1600,114212,2,140.09,4,2018,2,9,10
345,31081,2,111,1,2016,2,2,2
410,54820,3,74.79,1,2016,2,18,19
260,26530,2,98,4,2020,3,28,31
232,24946,2,93,2,2022,3,20,32
320,41025,2,78,1,2013,3,22,23
375,66102,2,56.73,1,2005,1,8,8
247,25691,2,96.14,2,2022,2,20,30
800,81766,2,97.84,2,2006,2,16,17
250,40322,2,62,1,1996,4,26,28
345,39383,2,87.6,4,2017,2,23,25
320,41025,2,78,1,2013,3,22,23
410,54820,3,74.79,1,2016,2,18,19
520,64951,1,80.06,6,2010,3,10,11
286,33059,1,86.51,7,2008,3,17,18
970,69014,2,140.55,1,2012,3,27,29
330,66000,4,50,1,2017,2,21,22
1350,90817,2,148.65,4,2018,1,9,24
410,54820,3,74.79,1,2016,2,18,19
247,25691,2,96.14,2,2022,2,20,30
119,16081,2,74,1,2019,1,6,6
260,26530,2,98,4,2020,3,28,31
348,47671,3,73,1,2018,2,5,5
980,70000,5,140,2,2015,3,29,33
